Product url,Brand,Model,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,LC Min Price,LC KwH
https://eu.nkon.nl/inr21700-m48-4800mah-6-9a-clear-wrap-met-roest.html,**,21700,1.5,4750.0,6.90,15,68,6.90,22.5,0.24,Li-ion,3.6,Out of stock,87.72,No offers,1.5,22.5,87.72
https://eu.nkon.nl/rechargeable/lifepo4/envision-ess-72173207-305ah-lifepo4-3-2v-b-grade.html,Envision,ESS 72173207,111.95,305000.0,305.00,16,5500,305.00,1791.2,15.62,LIFEPO4,3.2,Out of stock,114.7,Buy 16 times for,105.35,1685.6,107.94
https://eu.nkon.nl/rechargeable/lifepo4/envision-ess-4lh3l7-280ah-lifepo4-3-2v-b-grade.html,Envision,ESS 72173207,102.95,280000.0,280.00,16,5450,280.00,1647.2,14.34,LIFEPO4,3.2,In stock,114.9,Buy 16 times for,97.05,1552.8,108.31
https://eu.nkon.nl/samsung-inr21700-33j-3270mah-3-2a-tag.html,Samsung,INR21700-33J,1.7,3220.0,6.40,15,63,"3,220.00",25.5,0.16,Li-ion,3.6,In stock,146.65,Buy 390 times for,1.3,19.5,112.15
https://eu.nkon.nl/eve-lf304-prismatic-304ah-lifepo4-3-2v-a-grade.html,EVE,LF304,115.95,304000.0,304.00,16,5490,304.00,1855.2,15.56,LIFEPO4,3.2,Expected shipping date: 6 december 2023 (in 28 days),119.19,Buy 32 times for,109.95,1759.2,113.02
https://eu.nkon.nl/eve-lf105-prismatic-105ah-105a-lifepo4-a-grade.html,EVE,LF105,39.95,105000.0,105.00,16,1980,105.00,639.2,5.38,LIFEPO4,3.2, not Available,118.9,Buy 32 times for,38.75,620.0,115.33
https://eu.nkon.nl/eve-lf280-prismatic-280ah-280a-lifepo4.html,EVE,LF280K,109.95,280000.0,280.00,16,5450,280.00,1759.2,14.34,LIFEPO4,3.2, not Available,122.71,Buy 32 times for,103.95,1663.2,116.02
https://eu.nkon.nl/eve-lf304-prismatic-304ah-lifepo4-3-2v-b-grade.html,EVE,LF304,123.45,304000.0,304.00,16,5490,304.00,1975.2,15.56,LIFEPO4,3.2,In stock,126.9,Buy 32 times for,116.25,1860.0,119.5
https://eu.nkon.nl/catl-cb310-prismatic-280ah-lifepo4-3-2v.html,Catl,CB310,119.95,280000.0,140.00,16,5340,140.00,1919.2,14.34,LIFEPO4,3.2,Out of stock,133.87,Buy 32 times for,108.95,1743.2,121.6
https://eu.nkon.nl/calb-l173f230-230ah-lifepo4-3-2v.html,Calb,L173F230,97.45,230000.0,230.00,16,4170,230.00,1559.2,11.78,LIFEPO4,3.2,In stock,132.4,Buy 32 times for,91.05,1456.8,123.71
https://eu.nkon.nl/lishen-lp71173207-280-ah-280a-lifepo4-3-2v-b-grade.html,Lishen,LP71173207,118.95,280000.0,280.00,16,5300,280.00,1903.2,14.34,LIFEPO4,3.2,Out of stock,132.76,Buy 16 times for,110.95,1775.2,123.83
https://eu.nkon.nl/samsung-inr21700-33j-3270mah-3-2a-u-tag.html,Samsung,INR21700-33J,1.85,3220.0,6.40,15,63,"3,220.00",27.75,0.16,Li-ion,3.6,In stock,159.59,Buy 390 times for,1.45,21.75,125.09
https://eu.nkon.nl/samsung-inr21700-33j-3270mah-3-2a-z-tag.html,Samsung,INR21700-33J,1.85,3220.0,6.40,15,63,"3,220.00",27.75,0.16,Li-ion,3.6,In stock,159.59,Buy 390 times for,1.45,21.75,125.09
https://eu.nkon.nl/rept-280p-prismatic-280ah-lifepo4-b-grade.html,REPT,280P,119.95,280000.0,280.00,16,5400,280.00,1919.2,14.34,LIFEPO4,3.2,Out of stock,133.87,Buy 32 times for,112.85,1805.6,125.95
https://eu.nkon.nl/eve-lf280-prismatic-280ah-280a-lifepo4-b-grade.html,EVE,LF280K,119.95,280000.0,280.00,16,5350,280.00,1919.2,14.34,LIFEPO4,3.2,Out of stock,133.87,Buy 32 times for,112.95,1807.2,126.06
https://eu.nkon.nl/eve-lf230-prismatic-230ah-230a-lifepo4-b-grade.html,EVE,LF230,94.95,230000.0,230.00,16,4110,230.00,1519.2,11.78,LIFEPO4,3.2,Out of stock,129.01,No offers,94.95,1519.2,129.01
