Brand,Model,Capacity - mAh:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Envision,ESS 72173207,305000.0,305.00,1829.25,14.64,_Li-ion,€121.95,3.2,Out of stock,124.94877049180326,,€115.35,118.18647540983605
EVE,LF280K,280000.0,280.00,1799.25,13.44,_Li-ion,€119.95,3.2,Out of stock,133.87276785714286,Buy 32 times for,€112.95,126.06026785714286
EVE,LF22K,22000.0,66.00,329.25,1.056,_Li-ion,€21.95,3.2,In stock,311.7897727272727,,€21.95,311.7897727272727
Calb,L194F130A,130000.0,130.00,876.75,6.24,_Li-ion,€58.45,3.2,Expected shipping date: 10 november 2023 (in 28 days),140.50480769230768,Buy 32 times for,€55.95,134.4951923076923
EVE,LF32K,32000.0,32.00,374.84999999999997,1.536,_Li-ion,€24.99,3.2,Expected shipping date: 8 november 2023 (in 26 days),244.04296874999997,Buy 32 times for,€22.90,223.6328125
EVE,LF230,230000.0,230.00,1499.25,11.04,_Li-ion,€99.95,3.2,Expected shipping date: 29 oktober 2023 (in 16 days),135.80163043478262,Buy 32 times for,€95.95,130.36684782608697
Calb,L173F230,230000.0,230.00,1461.75,11.04,_Li-ion,€97.45,3.2,In stock,132.40489130434784,Buy 32 times for,€91.05,123.7092391304348
EVE,LF280K,280000.0,280.00,1649.25,13.44,_Li-ion,€109.95,3.2,Expected shipping date: 6 december 2023 (in 54 days),122.71205357142857,Buy 32 times for,€103.95,116.015625
BYD,C13,125000.0,375.00,1079.25,6.0,_Li-ion,€71.95,3.2,In stock,179.875,Buy 32 times for,€65.95,164.875
Gotion,IFP52148102,87000.0,120.00,614.25,4.176,_Li-ion,€40.95,3.2,Out of stock,147.0905172413793,Buy 32 times for,€38.25,137.39224137931035
EVE,LF50K,50000.0,50.00,569.85,2.4,_Li-ion,€37.99,3.2,In stock,237.43750000000003,,€37.99,237.43750000000003
EVE,C40,20000.0,140.00,179.25,0.96,_Li-ion,€11.95,3.2,Expected shipping date: 13 december 2023 (in 61 days),186.71875,,€11.95,186.71875
Yinlong,66160H,40000.0,210.00,1153.95,1.92,_Unknown,€54.95,2.3,In stock,597.2826086956522,,€54.95,597.2826086956522
CBAK,32140FS,15000.0,140.00,126.74999999999999,0.72,_Li-ion,€8.45,3.2,In stock,176.04166666666663,,€8.45,176.04166666666663
EVE,LF230,230000.0,230.00,1424.25,11.04,_Li-ion,€94.95,3.2,Out of stock,129.00815217391306,,€94.95,129.00815217391306
Lishen,LP71173207,280000.0,280.00,1784.25,13.44,_Li-ion,€118.95,3.2,In stock,132.75669642857142,,€110.95,123.828125
Samsung,INR21700-40T,3900.0,"3,900.00",69.3,0.187199999999999,_Unknown,€4.95,3.6,Out of stock,352.5641025641025,Buy 260 times for,€4.25,302.70655270655266
Sony,US18650VTC5A,2500.0,"2,500.00",59.5,0.12,_Unknown,€4.25,3.6,In stock,472.22222222222223,Buy 600 times for,€3.65,405.5555555555556
EVE,LF304,304000.0,304.00,1881.75,14.592,_Li-ion,€125.45,3.2,Out of stock,128.95764802631578,Buy 32 times for,€118.25,121.5563322368421
Samsung,INR21700-30T,2950.0,"2,950.00",58.10000000000001,0.1416,_Unknown,€4.15,3.6,In stock,390.7721280602637,,€3.85,362.5235404896422
Samsung,INR21700-33J,3220.0,"3,220.00",25.900000000000002,0.15456,_Unknown,€1.85,3.6,In stock,159.5928226363009,,€1.45,125.08626639061421
Sanyo,20700,3500.0,30.00,49.699999999999996,0.168,_LIFEPO4,€3.55,3.6,In stock,281.7460317460317,,€3.25,257.93650793650795
Catl,LIFEPO4,228000.0,207.00,1525.3,10.944,_Li-ion,€108.95,3.599555,In stock,132.75276449255045,Buy 32 times for,€97.45,118.74031115006004
BAK,N21700CG-50,4900.0,"4,900.00",54.46,0.23520000000000002,_Unknown,€3.89,3.6,Out of stock,220.52154195011337,Buy 600 times for,€3.29,186.5079365079365
Molicel,INR21700-P45B,4350.0,"4,350.00",111.3,0.20879999999999901,_Unknown,€7.95,3.6,In stock,507.6628352490422,Buy 200 times for,€7.05,450.1915708812261
Samsung,21700,4650.0,9.60,53.9,0.2232,_LIFEPO4,€3.85,3.6,Out of stock,229.9880525686977,Buy 390 times for,€3.15,188.17204301075267
Molicel,INR-21700-P42A,3950.0,"3,950.00",104.86,0.18960000000000002,_Unknown,€7.49,3.6,In stock,526.7229254571026,,€7.49,526.7229254571026
Nitecore,21700,4150.0,15.00,265.3,0.19920000000000002,_LIFEPO4,€18.95,3.6,In stock,1268.4069611780455,,€18.95,1268.4069611780455
Sanyo,20700,3150.0,30.00,41.300000000000004,0.1512,_LIFEPO4,€2.95,3.6,In stock,260.14109347442684,,€2.95,260.14109347442684
EagleTac,18650,3450.0,10.00,209.29999999999998,0.16560000000000002,_LIFEPO4,€14.95,3.6,In stock,1203.7037037037037,,€14.95,1203.7037037037037
Samsung,INR21700-33J,3220.0,"3,220.00",23.8,0.15456,_Unknown,€1.70,3.6,In stock,146.65286404416838,,€1.30,112.1463077984817
Keeppower,P1834J,3350.0,"3,350.00",153.29999999999998,0.1608,_Unknown,€10.95,3.6,In stock,907.960199004975,,€10.95,907.960199004975
Samsung,INR21700-30T,2950.0,"2,950.00",31.5,0.1416,_Unknown,€2.25,3.6,In stock,211.864406779661,,€1.85,174.19962335216573
Keeppower,P1830R,2950.0,"2,950.00",160.29999999999998,0.1416,_Unknown,€11.45,3.6,In stock,1078.1544256120526,,€11.45,1078.1544256120526
Keeppower,18650,3150.0,8.00,91.7,0.1512,_LIFEPO4,€6.55,3.6,In stock,577.6014109347443,,€5.80,511.4638447971782
Keeppower,P1826K,2550.0,"2,550.00",101.5,0.12240000000000001,_Unknown,€7.25,3.6,In stock,789.760348583878,,€7.25,789.760348583878
Sony / Murata,US21700VTC6A,4000.0,"4,000.00",91.7,0.192,_Unknown,€6.55,3.6,In stock,454.86111111111114,Buy 200 times for,€5.75,399.30555555555554
Samsung,INR18650-25R,2450.0,"2,450.00",97.3,0.11760000000000001,_Unknown,€6.95,3.6,In stock,787.9818594104307,,€6.95,787.9818594104307
Calb,L173F280A,280000.0,280.00,1934.2499999999998,13.44,_Li-ion,€128.95,3.2,Out of stock,143.9174107142857,Buy 32 times for,€121.95,136.10491071428572
Sony,US18650VTC4,2000.0,"2,000.00",66.5,0.096,_Unknown,€4.75,3.6,In stock,659.7222222222223,,€4.75,659.7222222222223
Sony,US18650VTC5,2500.0,"2,500.00",83.3,0.12,_Unknown,€5.95,3.6,In stock,661.1111111111111,,€5.95,661.1111111111111
