Brand,Model,Capacity - Ah:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Samsung,INR18650-32E,3100.0,"3,100.00",34.300000000000004,0.14880000000000002,Li-ion,€2.45,3.6,Out of stock,219.53405017921148,,£10000,896057.3476702508
Nitecore,NL1823,2250.0,"2,250.00",108.5,0.108,Li-ion,€7.75,3.6,In stock,956.7901234567902,,£10000,1234567.901234568
EVE,INR18650-35V,3400.0,"3,400.00",48.300000000000004,0.163199999999999,Li-ion,€3.45,3.6,In stock,281.8627450980393,Buy 600 times for,€2.60,212.4183006535948
Tenpower,ICR18650-20SG,1950.0,"1,950.00",27.86,0.093599999999999,Li-ion,€1.99,3.6,In stock,283.47578347578343,Buy 400 times for,€1.54,219.37321937321937
Nitecore,NL18650D,3050.0,"3,050.00",223.29999999999998,0.146399999999999,Li-ion,€15.95,3.6,In stock,1452.6411657559197,,£10000,910746.8123861566
Keeppower,P1832U,3150.0,"3,150.00",237.29999999999998,0.1512,Li-ion,€16.95,3.6,In stock,1494.7089947089946,,£10000,881834.2151675485
Nitecore,NL1835HP,3450.0,"3,450.00",293.3,0.16560000000000002,Li-ion,€20.95,3.6,In stock,1686.7954911433173,,£10000,805152.9790660226
DMEGC,18650,2750.0,4.80,30.099999999999998,0.132,Li-ion,€2.15,3.6,In stock,217.17171717171715,Buy 600 times for,€1.79,180.8080808080808
DMEGC,18650,2750.0,4.80,32.9,0.132,Li-ion,€2.35,3.6,In stock,237.37373737373736,,£10000,1010101.0101010101
Tenpower,INR18650-25PG,2450.0,"2,450.00",39.9,0.11760000000000001,Li-ion,€2.85,3.6,In stock,323.12925170068024,Buy 400 times for,€2.31,261.9047619047619
Sony,BM18650Z1,1550.0,"1,550.00",27.86,0.07440000000000001,Li-ion,€1.99,3.6,Out of stock,356.6308243727598,,£10000,1792114.6953405016
BAK,N18650CP,3250.0,"3,250.00",41.86,0.156,Li-ion,€2.99,3.6,In stock,255.5555555555556,,£10000,854700.8547008549
Samsung,INR18650-33G,3000.0,6.50,39.9,0.14400000000000002,Li-ion,€2.85,3.6,Out of stock,263.8888888888889,Buy 600 times for,€2.58,238.8888888888889
**,LGABHG21865,2950.0,"2,950.00",62.300000000000004,0.1416,Li-ion,€4.45,3.6,In stock,419.02071563088515,Buy 600 times for,€3.60,338.9830508474576
BAK,N21700CG-50,4900.0,"4,900.00",54.46,0.23520000000000002,Li-ion,€3.89,3.6,Out of stock,220.52154195011337,Buy 600 times for,€3.29,186.5079365079365
Sanyo,NCR20700,3150.0,"3,150.00",41.300000000000004,0.1512,Li-ion,€2.95,3.6,In stock,260.14109347442684,,£10000,881834.2151675485
Samsung,INR21700-40T,3900.0,"3,900.00",69.3,0.187199999999999,Li-ion,€4.95,3.6,Out of stock,352.5641025641025,Buy 260 times for,€4.25,302.70655270655266
Samsung,INR21700-33J,3220.0,"3,220.00",25.900000000000002,0.15456,Li-ion,€1.85,3.6,In stock,159.5928226363009,,£10000,862663.9061421669
Samsung,INR21700-33J,3220.0,"3,220.00",25.900000000000002,0.15456,Li-ion,€1.85,3.6,In stock,159.5928226363009,,£10000,862663.9061421669
Samsung,INR21700-30T,2950.0,"2,950.00",58.10000000000001,0.1416,Li-ion,€4.15,3.6,In stock,390.7721280602637,,£10000,941619.5856873823
Molicel,INR21700-P45B,4350.0,"4,350.00",111.3,0.20879999999999901,Li-ion,€7.95,3.6,In stock,507.6628352490422,Buy 200 times for,€7.05,450.1915708812261
Sinowatt,SW18650-30SP,2900.0,"2,900.00",45.5,0.13920000000000002,Li-ion,€3.25,3.6,Out of stock,311.30268199233717,Buy 600 times for,€2.65,253.8314176245211
Samsung,21700,4650.0,9.60,53.9,0.2232,Li-ion,€3.85,3.6,Out of stock,229.9880525686977,Buy 390 times for,€3.15,188.17204301075267
Molicel,INR-21700-P42A,3950.0,"3,950.00",104.86,0.18960000000000002,Li-ion,€7.49,3.6,In stock,526.7229254571026,,£10000,703234.8804500704
Nitecore,21700,4150.0,15.00,265.3,0.19920000000000002,Li-ion,€18.95,3.6,In stock,1268.4069611780455,,£10000,669344.0428380187
Samsung,INR21700-30T,2950.0,"2,950.00",31.5,0.1416,Li-ion,€2.25,3.6,In stock,211.864406779661,,£10000,941619.5856873823
Samsung,INR21700-33J,3220.0,"3,220.00",23.8,0.15456,Li-ion,€1.70,3.6,In stock,146.65286404416838,,£10000,862663.9061421669
EagleTac,18650,3450.0,10.00,209.29999999999998,0.16560000000000002,Li-ion,€14.95,3.6,In stock,1203.7037037037037,,£10000,805152.9790660226
Sanyo,20700,3500.0,30.00,49.699999999999996,0.168,Li-ion,€3.55,3.6,In stock,281.7460317460317,,£10000,793650.7936507936
Keeppower,18650,3150.0,8.00,91.7,0.1512,Li-ion,€6.55,3.6,Out of stock,577.6014109347443,,£10000,881834.2151675485
Keeppower,P1834J,3350.0,"3,350.00",153.29999999999998,0.1608,Li-ion,€10.95,3.6,In stock,907.960199004975,,£10000,829187.3963515755
Keeppower,P1826K,2550.0,"2,550.00",101.5,0.12240000000000001,Li-ion,€7.25,3.6,In stock,789.760348583878,,£10000,1089324.6187363835
Keeppower,P1830R,2950.0,"2,950.00",160.29999999999998,0.1416,Li-ion,€11.45,3.6,In stock,1078.1544256120526,,£10000,941619.5856873823
Sanyo,20700,3150.0,30.00,45.5,0.1512,Li-ion,€3.25,3.6,In stock,286.59611992945327,,£10000,881834.2151675485
Sanyo,NCR18650GA,3350.0,"3,350.00",83.3,0.1608,Li-ion,€5.95,3.6,Out of stock,493.36650082918743,,£10000,829187.3963515755
Samsung,INR18650-30Q,2950.0,"2,950.00",97.3,0.1416,Li-ion,€6.95,3.6,In stock,654.4256120527307,,£10000,941619.5856873823
Sony,US18650VTC4,2000.0,"2,000.00",66.5,0.096,Li-ion,€4.75,3.6,In stock,659.7222222222223,,£10000,1388888.888888889
Sony,US18650VTC5,2500.0,"2,500.00",83.3,0.12,Li-ion,€5.95,3.6,In stock,661.1111111111111,,£10000,1111111.1111111112
Sony,US18650VTC5A,2500.0,"2,500.00",125.29999999999998,0.12,Li-ion,€8.95,3.6,In stock,994.4444444444443,,£10000,1111111.1111111112
Samsung,INR18650-25R,2450.0,"2,450.00",97.3,0.11760000000000001,Li-ion,€6.95,3.6,In stock,787.9818594104307,,£10000,1133786.8480725621
Panasonic,NCR18650B,3250.0,"3,250.00",76.3,0.156,Li-ion,€5.45,3.6,In stock,465.8119658119659,,£10000,854700.8547008549
Sanyo,NCR18650BF,3250.0,"3,250.00",53.9,0.156,Li-ion,€3.85,3.6,In stock,329.0598290598291,,£10000,854700.8547008549
Keeppower,P1829J,2850.0,"2,850.00",132.29999999999998,0.1368,Li-ion,€9.45,3.6,In stock,921.0526315789473,,£10000,974658.8693957115
