Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
**,68,1.5,No Bulk price,86805.56,0,3.6V,Typ. capacity - mAh,4800,4750,Li-ion,21700,Flat top,€86.81
Envision,5500,111.95,4 @ 109.35  8 @ 107.35  16 @ 105.35 ,107940.57,3,3.2V,Capacity - Ah,305,Not found,LIFEPO4,no Size,notFound,€107.94
Envision,5450,102.95,4 @ 101.05  8 @ 99.05  16 @ 97.05 ,108314.73,3,3.2V,Capacity - Ah,280,Not found,LIFEPO4,no Size,notFound,€108.31
Samsung,63,1.7,50 @ 1.60  130 @ 1.40  390 @ 1.30 ,110431.53,3,3.6V,Typ. capacity - mAh,3270,3220,Li-ion,21700,tag,€110.43
EVE,5490,115.95,8 @ 113.95  16 @ 111.95  32 @ 109.95 ,113024.26,3,3.2V,Capacity - Ah,304,Not found,LIFEPO4,no Size,notFound,€113.02
EVE,5450,109.95,4 @ 108.95  8 @ 107.95  16 @ 105.95  32 @ 103.95  64 @ 102.95 ,114899.55,5,3.2V,Capacity - Ah,280,Not found,LIFEPO4,no Size,notFound,€114.90
EVE,1980,39.95,8 @ 39.45  16 @ 39.25  32 @ 38.75 ,115327.38,3,3.2V,Capacity - Ah,105,Not found,LIFEPO4,no Size,notFound,€115.33
EVE,5490,123.45,4 @ 122.25  8 @ 120.75  16 @ 118.45  32 @ 116.25 ,119500.41,4,3.2V,Capacity - Ah,304,Not found,LIFEPO4,no Size,notFound,€119.50
Catl,5340,119.95,4 @ 116.55  8 @ 113.95  16 @ 111.65  32 @ 108.95 ,121595.98,4,3.2V,Capacity - Ah,280,Not found,LIFEPO4,no Size,notFound,€121.60
Samsung,63,1.85,50 @ 1.75  130 @ 1.55  390 @ 1.45 ,123173.63,3,3.6V,Typ. capacity - mAh,3270,3220,Li-ion,21700,Z-tags,€123.17
Samsung,63,1.85,50 @ 1.75  130 @ 1.55  390 @ 1.45 ,123173.63,3,3.6V,Typ. capacity - mAh,3270,3220,Li-ion,21700,U-tags,€123.17
Calb,4170,97.45,4 @ 96.05  8 @ 94.05  16 @ 92.05  32 @ 91.05 ,123709.24,4,3.2V,Capacity - Ah,230,Not found,LIFEPO4,no Size,notFound,€123.71
Lishen,5300,118.95,8 @ 112.95  16 @ 110.95 ,123828.12,2,3.2V,Capacity - Ah,280,Not found,LIFEPO4,no Size,notFound,€123.83
REPT,5400,119.95,4 @ 118.85  8 @ 116.85  16 @ 114.85  32 @ 112.85 ,125948.66,4,3.2V,Capacity - Ah,280,Not found,LIFEPO4,no Size,notFound,€125.95
