Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/rechargeable/lifepo4/envision-ess-72173207-305ah-lifepo4-3-2v-b-grade.html,Envision,ESS 72173207,TBA,77.95,305000.0,976.0,305.00,16,5500,305.00,1247.2,15.62,LiFePO4,3.2,In stock,79.87,Buy 16 times for,72.9,177.45,1166.4,74.69
https://eu.nkon.nl/rechargeable/lifepo4/envision-ess-4lh3l7-280ah-lifepo4-3-2v-b-grade.html,Envision,ESS 72173207,TBA,72.95,280000.0,896.0,280.00,16,5450,280.00,1167.2,14.34,LiFePO4,3.2,In stock,81.42,Buy 16 times for,69.0,164.4,1104.0,77.01
https://eu.nkon.nl/eve-lf304-prismatic-304ah-lifepo4-3-2v-a-grade.html,EVE,LF304,TBA,89.95,304000.0,972.8,304.00,16,5490,304.00,1439.2,15.56,LiFePO4,3.2,Expected shipping date: 7 april 2024 (in 40 days),92.47,Buy 32 times for,83.95,177.19,1343.2,86.3
https://eu.nkon.nl/eve-lf280-prismatic-280ah-280a-lifepo4.html,EVE,LF280K,TBA,85.95,280000.0,896.0,280.00,16,5450,280.00,1375.2,14.34,LiFePO4,3.2,Expected shipping date: 25 april 2024 (in 58 days),95.93,Buy 32 times for,80.45,164.4,1287.2,89.79
https://eu.nkon.nl/eve-lf230-prismatic-230ah-230a-lifepo4.html,EVE,LF230,TBA,74.95,230000.0,736.0,230.00,16,4110,230.00,1199.2,11.78,LiFePO4,3.2,Expected shipping date: 29 maart 2024 (in 31 days),101.83,Buy 32 times for,70.95,179.08,1135.2,96.4
https://eu.nkon.nl/eve-lf105-prismatic-105ah-105a-lifepo4-a-grade.html,EVE,LF105,TBA,36.95,105000.0,336.0,105.00,16,1980,105.00,591.2,5.38,LiFePO4,3.2,Expected shipping date: 20 maart 2024 (in 22 days),109.97,Buy 32 times for,34.25,169.7,548.0,101.93
https://eu.nkon.nl/calb-l300f187-187ah-prismatic-lifepo4-3-2v-b-grade.html,Calb,L300F187,TBA,72.95,187000.0,598.4,187.00,16,3470,187.00,1167.2,9.57,LiFePO4,3.2,In stock,121.91,Buy 8 times for,69.95,172.45,1119.2,116.9
https://eu.nkon.nl/catl-prismatic-173ah-lifepo4-3-2v-b-grade.html,Catl,LF173,TBA,69.95,173000.0,553.6,173.00,16,3190,173.00,1119.2,8.86,LiFePO4,3.2,In stock,126.35,Buy 16 times for,64.95,173.54,1039.2,117.32
https://eu.nkon.nl/calb-l173f230-230ah-lifepo4-3-2v.html,Calb,L173F230,TBA,94.45,230000.0,736.0,230.00,16,4170,230.00,1511.2,11.78,LiFePO4,3.2,In stock,128.33,Buy 32 times for,88.15,176.5,1410.4,119.77
https://eu.nkon.nl/calb-l194f130a-b-grade.html,Calb,L194F130A,TBA,51.45,130000.0,416.0,130.00,16,2340,130.00,823.2,6.66,LiFePO4,3.2,In stock,123.68,Buy 64 times for,50.25,177.78,804.0,120.79
