Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/samsung-inr21700-33j-3270mah-3-2a-tag.html,Samsung,INR21700-33J,21700,1.4,3220,11.592,6.40,15,63,"3,220.00",21.0,0.16,Li-ion,3.6,In stock,120.77,Buy 390 times for,1.1,174.46,16.5,94.89
https://eu.nkon.nl/samsung-inr21700-33j-3270mah-3-2a-u-tag.html,Samsung,INR21700-33J,21700,1.55,3220,11.592,6.40,15,63,"3,220.00",23.25,0.16,Li-ion,3.6,In stock,133.71,Buy 390 times for,1.25,174.46,18.75,107.83
https://eu.nkon.nl/samsung-inr21700-33j-3270mah-3-2a-z-tag.html,Samsung,INR21700-33J,21700,1.65,3220,11.592,6.40,15,63,"3,220.00",24.75,0.16,Li-ion,3.6,In stock,142.34,Buy 390 times for,1.25,174.46,18.75,107.83
https://eu.nkon.nl/tenpower-inr18650-29he-2850mah-10a.html,Tenpower,INR18650-28HE,18650,1.55,2800,10.08,10.00,15,46,"2,800.00",23.25,0.14,Li-ion,3.6,In stock,153.77,Buy 600 times for,1.29,207.77,19.35,127.98
https://eu.nkon.nl/samsung-inr21700-48x-4650mah-9-6a.html,Samsung,21700,21700,3.15,4650,16.740000000000002,9.60,15,68,9.60,47.25,0.24,Li-ion,3.6,In stock,188.17,Buy 390 times for,2.25,233.41,33.75,134.41
https://eu.nkon.nl/rechargeable/li-ion/lishen-lr21700sa-4000mah-12a.html,Lishen,LR21700SA,21700,2.35,3900,14.04,12.00,15,68,"3,900.00",35.25,0.2,Li-ion,3.6,In stock,167.38,Buy 390 times for,1.99,195.76,29.85,141.74
https://eu.nkon.nl/bak-n18650cl-2900mah-8-25a.html,BAK,N18650CL-29,18650,1.95,2800,10.08,8.25,15,48,"2,800.00",29.25,0.14,Li-ion,3.6,In stock,193.45,Buy 200 times for,1.44,199.11,21.6,142.86
https://eu.nkon.nl/samsung-inr21700-48x-4650mah-9-6a-clear.html,Samsung,21700,21700,2.99,4650,16.740000000000002,9.60,15,69,9.60,44.85,0.24,Li-ion,3.6,In stock,178.61,Buy 390 times for,2.45,230.03,36.75,146.36
https://eu.nkon.nl/inr18650-m29-2850mah-10a.html,**,INR18650M29,18650,1.95,2750,9.9,10.00,15,48,"2,750.00",29.25,0.14,Li-ion,3.6,Expected shipping date: 6 maart 2024 (in 12 days),196.97,Buy 600 times for,1.49,195.56,22.35,150.51
https://eu.nkon.nl/tenpower-icr18650-26he-2600mah-10a.html,Tenpower,ICR18650-26HE,18650,1.59,2500,9.0,10.00,15,47,"2,500.00",23.85,0.13,Li-ion,3.6,In stock,176.67,Buy 600 times for,1.37,181.56,20.55,152.22
https://eu.nkon.nl/samsung-inr18650-35e-reclaimed.html,Samsung,INR18650-35E,18650,2.55,3350,12.06,8.00,15,49,"3,350.00",38.25,0.17,Li-ion,3.6,In stock,211.44,Buy 400 times for,1.89,233.36,28.35,156.72
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-29e-2900mah-productiejaar-2017.html,Samsung,INR18650-29E,18650,1.95,2750,9.9,8.25,15,45,"2,750.00",29.25,0.14,Li-ion,3.6,In stock,196.97,Buy 600 times for,1.65,208.59,24.75,166.67
https://eu.nkon.nl/rechargeable/li-ion/tenpower-inr18650-32he-3100mah-10a.html,Tenpower,INR18650-32HE,18650,2.35,3050,10.98,10.00,15,47,"3,050.00",35.25,0.16,Li-ion,3.6,In stock,214.03,Buy 600 times for,1.88,221.5,28.2,171.22
https://eu.nkon.nl/rechargeable/li-ion/inr21700-m58-5800mah-12-5a-reclaimed-rewrap.html,**,INR21700-M58T,21700,4.65,5520,19.872,12.50,15,72,"5,520.00",69.75,0.28,Li-ion,3.6,In stock,234.0,Buy 200 times for,3.45,261.69,51.75,173.61
https://eu.nkon.nl/samsung-inr21700-30t-3000mah-35a-clear-wrap-reclaimed.html,Samsung,INR21700-30T,21700,2.25,2950,10.620000000000001,35.00,15,68,"2,950.00",33.75,0.15,Li-ion,3.6,In stock,211.86,Buy 400 times for,1.85,148.08,27.75,174.2
https://eu.nkon.nl/rechargeable/li-ion/tenpower-inr21700-50me-5000mah-15a.html,Tenpower,INR21700-50ME,21700,3.99,4950,17.82,15.00,15,68,"4,950.00",59.85,0.25,Li-ion,3.6,In stock,223.91,Buy 390 times for,3.15,248.47,47.25,176.77
https://eu.nkon.nl/tenpower-inr18650-28he-2800mah-10a.html,Tenpower,INR18650-28HE,18650,2.75,2760,9.936,10.00,15,46,"2,760.00",41.25,0.14,Li-ion,3.6,In stock,276.77,Buy 600 times for,1.82,204.8,27.3,183.17
https://eu.nkon.nl/eve-inr18650-29v-2800mah-8-4a.html,EVE,INR18650-29V,18650,2.59,2850,10.26,8.40,15,45,"2,850.00",38.85,0.15,Li-ion,3.6,In stock,252.44,Buy 600 times for,1.89,216.18,28.35,184.21
https://eu.nkon.nl/bak-n18650cr-35e-3500mah-10-5a.html,BAK,N18650CR-35E,18650,2.95,3450,12.420000000000002,10.50,15,48,"3,450.00",44.25,0.18,Li-ion,3.6,In stock,237.52,Buy 600 times for,2.3,245.33,34.5,185.19
https://eu.nkon.nl/panasonic-ncr18650bd-3200mah-10a-reclaimed.html,Panasonic,NCR18650BD,18650,2.75,3100,11.16,10.00,15,49,"3,100.00",41.25,0.16,Li-ion,3.6,In stock,246.42,Buy 200 times for,2.25,215.95,33.75,201.61
https://eu.nkon.nl/tenpower-inr18650-2500mah-20a.html,Tenpower,INR18650-25PG,18650,2.45,2450,8.82,20.00,15,47,"2,450.00",36.75,0.13,Li-ion,3.6,In stock,277.78,Buy 400 times for,1.81,177.93,27.15,205.22
https://eu.nkon.nl/samsung-inr21700-50gb.html,Samsung,INR21700-50G,21700,3.99,4753,17.1108,9.70,15,70,"4,753.00",59.85,0.24,Li-ion,3.6,In stock,233.19,Buy 390 times for,3.59,231.77,53.85,209.81
https://eu.nkon.nl/inr18650mh1-3200mah-3c-battery.html,**,INR18650MH1,18650,3.25,3100,11.16,6.00,15,48,"3,100.00",48.75,0.16,Li-ion,3.6,In stock,291.22,Buy 600 times for,2.4,220.44,36.0,215.05
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-33g-3150-mah-6-5a.html,Samsung,INR18650-33G,18650,2.65,3000,10.8,6.50,15,48,6.50,39.75,0.15,Li-ion,3.6,In stock,245.37,Buy 600 times for,2.33,213.33,34.95,215.74
https://eu.nkon.nl/lg-icr18650-hd2c-2100mah-20a.html,**,**AAHD2C1865,18650,1.95,2100,7.5600000000000005,20.00,15,45,"2,100.00",29.25,0.11,Li-ion,3.6,In stock,257.94,Buy 600 times for,1.64,159.29,24.6,216.93
https://eu.nkon.nl/18650he2-imr-battery.html,**,**DBHE21865,18650,2.49,2450,8.82,20.00,15,45,"2,450.00",37.35,0.13,Li-ion,3.6,In stock,282.31,Buy 600 times for,1.97,185.84,29.55,223.36
https://eu.nkon.nl/tenpower-20sg.html,Tenpower,ICR18650-20SG,18650,1.99,1950,7.02,30.00,15,45,"1,950.00",29.85,0.1,Li-ion,3.6,In stock,283.48,Buy 400 times for,1.59,147.91,23.85,226.5
https://eu.nkon.nl/lg-18650hd2-imr-battery.html,**,ICR18650HD2,18650,2.15,1970,7.092,25.00,15,48,"1,970.00",32.25,0.1,Li-ion,3.6,In stock,303.16,Buy 600 times for,1.65,140.09,24.75,232.66
https://eu.nkon.nl/samsung-inr18650-35e.html,Samsung,INR18650-35E,18650,3.55,3350,12.06,8.00,15,49,"3,350.00",53.25,0.17,Li-ion,3.6,Expected shipping date: 5 april 2024 (in 42 days),294.36,Buy 600 times for,2.84,233.36,42.6,235.49
https://eu.nkon.nl/bak-n18650cnp-2500mah-20a.html,BAK,N18650CNP,18650,2.89,2400,8.64,20.00,15,47,"2,400.00",43.35,0.12,Li-ion,3.6,In stock,334.49,Buy 600 times for,2.13,174.3,31.95,246.53
https://eu.nkon.nl/samsung-inr18650-30q-3000mah-15a-reclaimed.html,Samsung,INR18650-30Q,18650,2.99,2950,10.620000000000001,15.00,15,46,"2,950.00",44.85,0.15,Li-ion,3.6,In stock,281.54,Buy 100 times for,2.65,218.9,39.75,249.53
https://eu.nkon.nl/sinowatt-sw18650-25sp-2550mah-20a.html,Sinowatt,SW18650-25SP,18650,2.75,2500,9.0,20.00,15,49,"2,500.00",41.25,0.13,Li-ion,3.6,In stock,305.56,Buy 200 times for,2.25,174.15,33.75,250.0
https://eu.nkon.nl/panasonic-ncr18650pf-3-7v-2900mah.html,Panasonic,NCR18650PF,18650,3.15,2850,10.26,10.00,15,46,"2,850.00",47.25,0.15,Li-ion,3.6,In stock,307.02,Buy 540 times for,2.59,211.48,38.85,252.44
https://eu.nkon.nl/sinowatt-sw18650-30sp-2900mah-15a.html,Sinowatt,SW18650-30SP,18650,3.25,2900,10.44,15.00,15,49,"2,900.00",48.75,0.15,Li-ion,3.6,In stock,311.3,Buy 600 times for,2.65,202.01,39.75,253.83
https://eu.nkon.nl/samsung-inr21700-50s-5000mah-35a.html,Samsung,INR21700-50S,21700,5.65,4800,17.28,35.00,15,72,"4,800.00",84.75,0.25,Li-ion,3.6,Expected shipping date: 7 april 2024 (in 44 days),326.97,Buy 200 times for,4.5,227.56,67.5,260.42
https://eu.nkon.nl/panasonic-ncr18650bd-3200mah-10a.html,Panasonic,NCR18650BD,18650,3.55,3030,10.908,10.00,15,49,"3,030.00",53.25,0.16,Li-ion,3.6,In stock,325.45,Buy 540 times for,2.85,211.07,42.75,261.28
https://eu.nkon.nl/inr18650m36-3600mah-10a.html,**,**DBM361865,18650,3.89,3400,12.24,5.00,15,49,"3,400.00",58.35,0.17,Li-ion,3.6,In stock,317.81,Buy 600 times for,3.25,236.84,48.75,265.52
https://eu.nkon.nl/sanyo-ncr18650ga-3350mah-10a-groen.html,Sanyo,NCR18650GA,18650,3.99,3300,11.879999999999999,10.00,15,47,"3,300.00",59.85,0.17,Li-ion,3.6,In stock,335.86,Buy 540 times for,3.2,239.66,48.0,269.36
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr-18650-30q-3000mah-15a-2017.html,Samsung,INR18650-30Q,18650,3.15,2950,10.620000000000001,15.00,15,46,"2,950.00",47.25,0.15,Li-ion,3.6,In stock,296.61,Buy 600 times for,2.89,218.9,43.35,272.13
https://eu.nkon.nl/samsung-18650-inr18650-25r.html,Samsung,INR18650-25R,18650,2.99,2450,8.82,20.00,15,44,"2,450.00",44.85,0.13,Li-ion,3.6,In stock,339.0,Buy 200 times for,2.44,190.06,36.6,276.64
https://eu.nkon.nl/panasonic-ncr18650b-made-in-japan-2017.html,Panasonic,NCR18650B,18650,3.75,3250,11.700000000000001,6.70,15,46,"3,250.00",56.25,0.17,Li-ion,3.6,In stock,320.51,Buy 130 times for,3.25,241.16,48.75,277.78
https://eu.nkon.nl/sanyo-18650ga-4899.html,Sanyo,NCR18650GA,18650,4.25,3350,12.06,10.00,15,48,"3,350.00",63.75,0.17,Li-ion,3.6,In stock,352.4,Buy 540 times for,3.78,238.22,56.7,313.43
