Product url,Brand,Model,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/rechargeable/lifepo4/envision-ess-72173207-305ah-lifepo4-3-2v-b-grade.html,Envision,ESS 72173207,77.95,305000.0,305.00,16,5500,305.00,1247.2,15.62,LiFePO4,3.2,Expected shipping date: 18 januari 2024 (in 30 days),79.87,Buy 16 times for,72.9,177.45,1166.4,74.69
https://eu.nkon.nl/rechargeable/lifepo4/envision-ess-4lh3l7-280ah-lifepo4-3-2v-b-grade.html,Envision,ESS 72173207,72.95,280000.0,280.00,16,5450,280.00,1167.2,14.34,LiFePO4,3.2,Expected shipping date: 18 januari 2024 (in 30 days),81.42,Buy 16 times for,69.0,164.4,1104.0,77.01
https://eu.nkon.nl/bak-n18650cl-2900mah-8-25a-ztag.html,BAK,N18650CL-29,0.95,2800.0,8.25,15,48,"2,800.00",14.25,0.14,Li-ion,3.6,Out of stock,94.25,No offers,0.95,199.11,14.25,94.25
https://eu.nkon.nl/dmegc-inr18650-29e-2900mah-4-8a.html,DMEGC,18650,0.99,2750.0,4.80,15,45,4.80,14.85,0.14,Li-ion,3.6,In stock,100.0,No offers,0.99,208.59,14.85,100.0
https://eu.nkon.nl/eve-lf280-prismatic-280ah-280a-lifepo4.html,EVE,LF280K,98.95,280000.0,280.00,16,5450,280.00,1583.2,14.34,LiFePO4,3.2,Expected shipping date: 29 januari 2024 (in 41 days),110.44,Buy 64 times for,89.95,164.4,1439.2,100.39
https://eu.nkon.nl/eve-lf280-prismatic-280ah-280a-lifepo4-threaded.html,EVE,LF280K,99.95,280000.0,280.00,16,5450,280.00,1599.2,14.34,LiFePO4,3.2,Expected shipping date: 8 januari 2024 (in 20 days),111.55,Buy 64 times for,92.05,164.4,1472.8,102.73
https://eu.nkon.nl/eve-lf304-prismatic-304ah-lifepo4-3-2v-a-grade.html,EVE,LF304,105.95,304000.0,304.00,16,5490,304.00,1695.2,15.56,LiFePO4,3.2,Expected shipping date: 28 januari 2024 (in 40 days),108.91,Buy 32 times for,99.95,177.19,1599.2,102.74
https://eu.nkon.nl/eve-lf304-prismatic-304ah-lifepo4-3-2v-a-grade-threaded-studs.html,EVE,LF304,107.95,304000.0,304.00,16,5490,304.00,1727.2,15.56,LiFePO4,3.2,Expected shipping date: 10 januari 2024 (in 22 days),110.97,Buy 32 times for,101.95,177.19,1631.2,104.8
https://eu.nkon.nl/eve-lf105-prismatic-105ah-105a-lifepo4-a-grade.html,EVE,LF105,38.95,105000.0,105.00,16,1980,105.00,623.2,5.38,LiFePO4,3.2,Expected shipping date: 19 januari 2024 (in 31 days),115.92,Buy 32 times for,35.95,169.7,575.2,106.99
https://eu.nkon.nl/eve-lf230-prismatic-230ah-230a-lifepo4.html,EVE,LF230,84.95,230000.0,230.00,16,4110,230.00,1359.2,11.78,LiFePO4,3.2,Expected shipping date: 12 januari 2024 (in 24 days),115.42,Buy 32 times for,80.95,179.08,1295.2,109.99
